lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.177 | 0.823
0.0001 | 0.01| 0.01 | 1 | 0.176 | 0.824
0.0001 | 0.01| 0.1 | 1 | 0.154 | 0.846
0.0001 | 0.01| 0.001 | 10 | 0.177 | 0.823
0.0001 | 0.01| 0.01 | 10 | 0.181 | 0.819
0.0001 | 0.01| 1.0 | 1 | 0.057 | 0.943
0.0001 | 0.01| 0.001 | 20 | 0.176 | 0.824
0.0001 | 0.01| 0.1 | 10 | 0.191 | 0.809
0.0001 | 0.01| 0.01 | 20 | 0.177 | 0.823
0.0001 | 0.01| 5.0 | 1 | 0.041 | 0.959
0.0001 | 0.01| 1.0 | 10 | 0.17 | 0.83
0.0001 | 0.01| 10.0 | 1 | 0.04 | 0.96
0.0001 | 0.01| 0.1 | 20 | 0.196 | 0.804
0.0001 | 0.01| 5.0 | 10 | 0.159 | 0.841
0.0001 | 0.01| 1.0 | 20 | 0.199 | 0.801
0.0001 | 0.01| 10.0 | 10 | 0.143 | 0.857
0.0001 | 0.01| 5.0 | 20 | 0.182 | 0.818
0.0001 | 0.01| 10.0 | 20 | 0.174 | 0.826
