lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 1.0 | 10 | 0.154 | 0.846
0.0001 | 0.01| 0.1 | 10 | 0.256 | 0.744
0.0001 | 0.01| 0.001 | 1 | 0.166 | 0.834
0.0001 | 0.01| 0.01 | 1 | 0.17 | 0.83
0.0001 | 0.01| 0.001 | 10 | 0.18 | 0.82
0.0001 | 0.01| 0.01 | 10 | 0.176 | 0.824
0.0001 | 0.01| 0.1 | 1 | 0.149 | 0.851
0.0001 | 0.01| 0.001 | 20 | 0.183 | 0.817
0.0001 | 0.01| 1.0 | 1 | 0.149 | 0.851
0.0001 | 0.01| 0.1 | 10 | 0.17 | 0.83
0.0001 | 0.01| 0.01 | 20 | 0.182 | 0.818
0.0001 | 0.01| 5.0 | 1 | 0.103 | 0.897
0.0001 | 0.01| 1.0 | 10 | 0.175 | 0.825
0.0001 | 0.01| 0.1 | 20 | 0.186 | 0.814
0.0001 | 0.01| 10.0 | 1 | 0.088 | 0.912
0.0001 | 0.01| 5.0 | 10 | 0.12 | 0.88
0.0001 | 0.01| 1.0 | 20 | 0.184 | 0.816
0.0001 | 0.01| 10.0 | 10 | 0.114 | 0.886
0.001 | 0.01| 0.001 | 1 | 0.213 | 0.787
0.0001 | 0.01| 5.0 | 20 | 0.121 | 0.879
0.001 | 0.01| 0.01 | 1 | 0.205 | 0.795
0.0001 | 0.01| 10.0 | 20 | 0.1 | 0.9
0.001 | 0.01| 0.001 | 10 | 0.21 | 0.79
0.001 | 0.01| 0.1 | 1 | 0.19 | 0.81
0.001 | 0.01| 0.01 | 10 | 0.215 | 0.785
0.001 | 0.01| 0.001 | 20 | 0.229 | 0.771
0.001 | 0.01| 1.0 | 1 | 0.123 | 0.877
0.001 | 0.01| 0.1 | 10 | 0.216 | 0.784
0.001 | 0.01| 0.01 | 20 | 0.213 | 0.787
0.001 | 0.01| 5.0 | 1 | 0.09125 | 0.9035211999999999
0.001 | 0.01| 1.0 | 10 | 0.163 | 0.837
0.001 | 0.01| 0.1 | 20 | 0.212 | 0.788
0.001 | 0.01| 10.0 | 1 | 0.067 | 0.933
0.001 | 0.01| 1.0 | 20 | 0.185 | 0.815
0.001 | 0.01| 5.0 | 10 | 0.0725 | 0.927146
0.001 | 0.01| 10.0 | 10 | 0.065 | 0.935
0.001 | 0.01| 5.0 | 20 | 0.127 | 0.873
0.001 | 0.01| 10.0 | 20 | 0.104 | 0.896
0.01 | 0.01| 0.1 | 10 | 0.256 | 0
