lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.626 | 0.374
0.0001 | 0.01| 0.01 | 1 | 0.627 | 0.373
0.0001 | 0.01| 0.1 | 1 | 0.411 | 0.589
0.0001 | 0.01| 0.01 | 10 | 0.63 | 0.37
0.0001 | 0.01| 0.1 | 10 | 0.598 | 0.402
0.0001 | 0.01| 1.0 | 1 | 0.077 | 0.923
0.0001 | 0.01| 0.001 | 10 | 0.629 | 0.371
0.0001 | 0.01| 0.01 | 20 | 0.629 | 0.371
0.0001 | 0.01| 5.0 | 1 | 0.065 | 0.935
0.0001 | 0.01| 0.001 | 20 | 0.628 | 0.372
0.0001 | 0.01| 1.0 | 10 | 0.478 | 0.522
0.0001 | 0.01| 10.0 | 1 | 0.065 | 0.935
0.0001 | 0.01| 5.0 | 10 | 0.451 | 0.549
0.0001 | 0.01| 0.1 | 20 | 0.588 | 0.412
0.0001 | 0.01| 10.0 | 10 | 0.441 | 0.559
0.0001 | 0.01| 1.0 | 20 | 0.521 | 0.479
0.0001 | 0.01| 10.0 | 20 | 0.495 | 0.505
0.0001 | 0.01| 5.0 | 20 | 0.497 | 0.503
