lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.542 | 0.458
0.0001 | 0.01| 0.01 | 1 | 0.537 | 0.463
0.0001 | 0.01| 0.001 | 10 | 0.565 | 0.435
0.0001 | 0.01| 0.01 | 10 | 0.57 | 0.43
0.0001 | 0.01| 0.1 | 1 | 0.565 | 0.435
0.0001 | 0.01| 0.001 | 20 | 0.565 | 0.435
0.0001 | 0.01| 0.01 | 20 | 0.569 | 0.431
0.0001 | 0.01| 1.0 | 1 | 0.497 | 0.503
0.0001 | 0.01| 0.1 | 10 | 0.573 | 0.427
0.0001 | 0.01| 5.0 | 1 | 0.242 | 0.758
0.0001 | 0.01| 1.0 | 10 | 0.57 | 0.43
0.0001 | 0.01| 0.1 | 20 | 0.573 | 0.427
0.0001 | 0.01| 10.0 | 1 | 0.192 | 0.808
0.0001 | 0.01| 5.0 | 10 | 0.469 | 0.531
0.0001 | 0.01| 1.0 | 20 | 0.572 | 0.428
0.0001 | 0.01| 10.0 | 10 | 0.384 | 0.616
0.001 | 0.01| 0.001 | 1 | 0.636 | 0.364
0.0001 | 0.01| 5.0 | 20 | 0.444 | 0.556
0.001 | 0.01| 0.01 | 1 | 0.629 | 0.371
0.001 | 0.01| 0.001 | 10 | 0.646 | 0.354
0.0001 | 0.01| 10.0 | 20 | 0.333 | 0.667
0.001 | 0.01| 0.1 | 1 | 0.632 | 0.368
0.001 | 0.01| 0.01 | 10 | 0.636 | 0.364
0.001 | 0.01| 0.001 | 20 | 0.622 | 0.378
0.001 | 0.01| 1.0 | 1 | 0.406 | 0.594
0.001 | 0.01| 0.1 | 10 | 0.629 | 0.371
0.001 | 0.01| 0.01 | 20 | 0.643 | 0.357
0.001 | 0.01| 5.0 | 1 | 0.205 | 0.795
0.001 | 0.01| 1.0 | 10 | 0.555 | 0.445
0.001 | 0.01| 0.1 | 20 | 0.626 | 0.374
0.001 | 0.01| 10.0 | 1 | 0.12 | 0.88
0.001 | 0.01| 5.0 | 10 | 0.314 | 0.686
0.001 | 0.01| 1.0 | 20 | 0.524 | 0.476
0.001 | 0.01| 10.0 | 10 | 0.21 | 0.79
0.001 | 0.01| 5.0 | 20 | 0.215 | 0.785
0.001 | 0.01| 10.0 | 20 | 0.247 | 0.753
