lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.01 | 1 | 0.099 | 0.24272213267398302
0.0001 | 0.01| 0.001 | 1 | 0.1 | 0.24176248552125892
0.0001 | 0.01| 0.1 | 1 | 0.095 | 0.2458490759033404
0.0001 | 0.01| 0.001 | 10 | 0.1 | 0.24252660068079746
0.0001 | 0.01| 1.0 | 1 | 0.091 | 0.25925300191074374
0.0001 | 0.01| 0.01 | 10 | 0.1 | 0.2442146473682696
0.0001 | 0.01| 0.1 | 10 | 0.097 | 0.23807356168511015
0.0001 | 0.01| 5.0 | 1 | 0.099 | 0.2642220962001683
0.0001 | 0.01| 0.01 | 20 | 0.1 | 0.24115805704940277
0.0001 | 0.01| 0.001 | 20 | 0.1 | 0.241316284431383
0.0001 | 0.01| 1.0 | 10 | 0.109 | 0.21691593973904036
0.0001 | 0.01| 0.1 | 20 | 0.102 | 0.23580071603925143
0.0001 | 0.01| 10.0 | 1 | 0.102 | 0.26321484113949434
0.0001 | 0.01| 5.0 | 10 | 0.124 | 0.20956881173535014
0.0001 | 0.01| 1.0 | 20 | 0.096 | 0.21661030603579556
0.0001 | 0.01| 10.0 | 10 | 0.129 | 0.21427196111871746
0.0001 | 0.01| 5.0 | 20 | 0.123 | 0.20516844714634305
0.0001 | 0.01| 10.0 | 20 | 0.127 | 0.20471832921509775
