lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 1.0 | 0.147 | 0.14249023133836614
0.0001 | 0.01| 0.001 | 0.128 | 0.16033531280591726
0.0001 | 0.01| 0.01 | 0.131 | 0.1570912620015344
0.0001 | 0.01| 0.1 | 0.128 | 0.14426072968849923
0.0001 | 0.01| 10.0 | 0.153 | 0.14264371014623967
0.0001 | 0.01| 5.0 | 0.154 | 0.14152792465161956
0.001 | 0.01| 0.01 | 0.141 | 0.14288019629189044
0.001 | 0.01| 0.001 | 0.142 | 0.14406477192099817
0.001 | 0.01| 0.1 | 0.145 | 0.13767782154271338
0.001 | 0.01| 1.0 | 0.155 | 0.15329886701950834
0.001 | 0.01| 5.0 | 0.153 | 0.1605136975156411
0.001 | 0.01| 10.0 | 0.149 | 0.16297141826815686
