lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.113 | 0.17310282582686506
0.0001 | 0.01| 0.01 | 1 | 0.116 | 0.17405055156543972
0.0001 | 0.01| 0.001 | 10 | 0.135 | 0.1584821349546807
0.0001 | 0.01| 0.1 | 1 | 0.118 | 0.16462297420340935
0.0001 | 0.01| 0.01 | 10 | 0.135 | 0.15965355219882946
0.0001 | 0.01| 0.001 | 20 | 0.133 | 0.15460968245375825
0.0001 | 0.01| 1.0 | 1 | 0.101 | 0.20181869319978474
0.0001 | 0.01| 0.01 | 20 | 0.14 | 0.15307193498856042
0.0001 | 0.01| 0.1 | 10 | 0.122 | 0.17594112028622003
0.0001 | 0.01| 0.001 | 1 | 0.113 | 0.17907797584374113
0.0001 | 0.01| 0.01 | 1 | 0.116 | 0.17405055156543972
0.0001 | 0.01| 0.001 | 10 | 0.135 | 0.1584821349546807
0.0001 | 0.01| 0.01 | 10 | 0.135 | 0.15965355219882946
0.0001 | 0.01| 0.1 | 1 | 0.118 | 0.16462297420340935
0.0001 | 0.01| 0.001 | 20 | 0.133 | 0.15460968245375825
0.0001 | 0.01| 0.1 | 10 | 0.122 | 0.17594112028622003
0.0001 | 0.01| 1.0 | 1 | 0.101 | 0.20181869319978474
0.0001 | 0.01| 0.01 | 20 | 0.14 | 0.15307193498856042
0.0001 | 0.01| 1.0 | 10 | 0.091 | 0.2522404100120128
0.0001 | 0.01| 5.0 | 1 | 0.105 | 0.21630937173538062
0.0001 | 0.01| 0.1 | 20 | 0.121 | 0.1644758084892908
0.0001 | 0.01| 5.0 | 10 | 0.09 | 0.2494783597202097
0.0001 | 0.01| 10.0 | 1 | 0.109 | 0.22119585512863
0.0001 | 0.01| 1.0 | 20 | 0.107 | 0.2260752524523669
0.0001 | 0.01| 10.0 | 10 | 0.092 | 0.25342973170763655
0.0001 | 0.01| 5.0 | 20 | 0.103 | 0.2530632214865594
0.001 | 0.01| 0.001 | 1 | 0.153 | 0.12998500918142775
0.001 | 0.01| 0.001 | 10 | 0.151 | 0.10748004256784571
0.0001 | 0.01| 10.0 | 20 | 0.093 | 0.26253669003435887
0.001 | 0.01| 0.01 | 1 | 0.147 | 0.131499628141274
0.001 | 0.01| 0.01 | 10 | 0.158 | 0.09852516422595442
0.001 | 0.01| 0.001 | 20 | 0.18 | 0.08939421008657138
0.001 | 0.01| 0.1 | 1 | 0.134 | 0.1493224047575412
0.001 | 0.01| 0.01 | 20 | 0.178 | 0.09381075960288718
0.001 | 0.01| 0.1 | 10 | 0.141 | 0.12875372090519469
0.001 | 0.01| 1.0 | 1 | 0.107 | 0.1872268971650135
0.001 | 0.01| 0.1 | 20 | 0.15 | 0.11084093507477283
0.001 | 0.01| 1.0 | 10 | 0.108 | 0.17002946235413524
0.001 | 0.01| 5.0 | 1 | 0.1 | 0.2117251984843421
0.001 | 0.01| 5.0 | 10 | 0.109 | 0.22555982157987461
0.001 | 0.01| 1.0 | 20 | 0.12 | 0.1751767650863257
0.001 | 0.01| 10.0 | 1 | 0.1 | 0.22261038667187444
0.001 | 0.01| 5.0 | 20 | 0.095 | 0.2238790257505143
0.001 | 0.01| 10.0 | 10 | 0.088 | 0.2683802102729888
0.001 | 0.01| 10.0 | 20 | 0.107 | 0.24508551590017164
