lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.655 | 0.345
0.0001 | 0.01| 0.01 | 1 | 0.655 | 0.345
0.0001 | 0.01| 0.001 | 10 | 0.656 | 0.344
0.0001 | 0.01| 0.1 | 1 | 0.638 | 0.362
0.0001 | 0.01| 0.01 | 10 | 0.654 | 0.346
0.0001 | 0.01| 1.0 | 1 | 0.328 | 0.672
0.0001 | 0.01| 0.1 | 10 | 0.66 | 0.34
0.0001 | 0.01| 0.01 | 20 | 0.652 | 0.348
0.0001 | 0.01| 0.001 | 20 | 0.656 | 0.344
0.0001 | 0.01| 5.0 | 1 | 0.11 | 0.89
0.0001 | 0.01| 1.0 | 10 | 0.646 | 0.354
0.0001 | 0.01| 0.1 | 20 | 0.657 | 0.343
0.0001 | 0.01| 10.0 | 1 | 0.089 | 0.911
0.0001 | 0.01| 1.0 | 20 | 0.635 | 0.365
0.0001 | 0.01| 5.0 | 10 | 0.506 | 0.494
0.0001 | 0.01| 5.0 | 20 | 0.557 | 0.443
0.0001 | 0.01| 10.0 | 10 | 0.458 | 0.542
0.0001 | 0.01| 10.0 | 20 | 0.529 | 0.471
