lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.01 | 1 | 0.097 | 0.313067336830195
0.0001 | 0.01| 0.001 | 1 | 0.097 | 0.3162796466817981
0.0001 | 0.01| 0.1 | 1 | 0.098 | 0.30470461984313946
0.0001 | 0.01| 0.01 | 10 | 0.095 | 0.3155442285558742
0.0001 | 0.01| 0.001 | 10 | 0.096 | 0.31665647736357283
0.0001 | 0.01| 0.1 | 10 | 0.094 | 0.31140867992053267
0.0001 | 0.01| 1.0 | 1 | 0.086 | 0.34058979099610687
0.0001 | 0.01| 5.0 | 1 | 0.092 | 0.3464506762490888
0.0001 | 0.01| 0.01 | 20 | 0.097 | 0.31515932429643284
0.0001 | 0.01| 0.001 | 20 | 0.096 | 0.31665647736357283
0.0001 | 0.01| 10.0 | 1 | 0.096 | 0.34776949856090683
0.0001 | 0.01| 1.0 | 10 | 0.115 | 0.28599003729900985
0.0001 | 0.01| 0.1 | 20 | 0.099 | 0.3104035277064818
0.0001 | 0.01| 5.0 | 10 | 0.118 | 0.2893788325577327
0.0001 | 0.01| 10.0 | 10 | 0.118 | 0.28759985527011667
0.0001 | 0.01| 1.0 | 20 | 0.117 | 0.27839007870689003
0.0001 | 0.01| 5.0 | 20 | 0.13 | 0.2675136261252938
0.0001 | 0.01| 10.0 | 20 | 0.13 | 0.26397933422899666
