lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.1 | 0.119 | 0.2771865593679552
0.0001 | 0.01| 0.001 | 0.113 | 0.29088987458029925
0.0001 | 0.01| 0.01 | 0.113 | 0.29088460045014214
0.0001 | 0.01| 1.0 | 0.138 | 0.24282112942153147
0.0001 | 0.01| 10.0 | 0.133 | 0.24571679954264022
0.0001 | 0.01| 5.0 | 0.136 | 0.240541228854252
0.001 | 0.01| 0.001 | 0.126 | 0.25316561561905904
0.001 | 0.01| 0.01 | 0.128 | 0.2534617521692665
0.001 | 0.01| 0.1 | 0.131 | 0.25461471540353137
0.001 | 0.01| 1.0 | 0.11 | 0.26797428002621926
0.001 | 0.01| 5.0 | 0.109 | 0.27378100835300045
0.001 | 0.01| 10.0 | 0.11 | 0.2739347018094303
