lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.1 | 0.113 | 0.2878785971896003
0.0001 | 0.01| 0.001 | 0.111 | 0.2939680638887763
0.0001 | 0.01| 0.01 | 0.11 | 0.29337473475140335
0.0001 | 0.01| 1.0 | 0.136 | 0.25383713634798155
0.0001 | 0.01| 5.0 | 0.137 | 0.262113141296169
0.0001 | 0.01| 10.0 | 0.134 | 0.26873720373411664
0.001 | 0.01| 0.001 | 0.127 | 0.2532218163477272
0.001 | 0.01| 0.1 | 0.13 | 0.26279415351203883
0.001 | 0.01| 0.01 | 0.124 | 0.25589814247029674
0.001 | 0.01| 1.0 | 0.112 | 0.29170689177577447
0.001 | 0.01| 10.0 | 0.106 | 0.2947485760378929
0.001 | 0.01| 5.0 | 0.108 | 0.29333697184186885
