lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.104 | 0.29180031549209584
0.0001 | 0.01| 0.01 | 1 | 0.11 | 0.28970676965986697
0.0001 | 0.01| 0.001 | 10 | 0.127 | 0.268391173564456
0.0001 | 0.01| 0.01 | 10 | 0.124 | 0.26674266986652556
0.0001 | 0.01| 0.1 | 1 | 0.117 | 0.2899701103586632
0.0001 | 0.01| 0.001 | 20 | 0.122 | 0.26380974126497575
0.0001 | 0.01| 0.01 | 20 | 0.117 | 0.26158434329136554
0.0001 | 0.01| 1.0 | 1 | 0.116 | 0.29960606453891026
0.0001 | 0.01| 0.1 | 10 | 0.128 | 0.2614081323926414
0.0001 | 0.01| 5.0 | 1 | 0.106 | 0.30538872867959005
0.0001 | 0.01| 1.0 | 10 | 0.109 | 0.32300489361410817
0.0001 | 0.01| 0.1 | 20 | 0.128 | 0.273948506737756
0.0001 | 0.01| 10.0 | 1 | 0.102 | 0.3081594252314875
0.0001 | 0.01| 5.0 | 10 | 0.096 | 0.33109274741979733
0.0001 | 0.01| 1.0 | 20 | 0.077 | 0.3377067081477989
0.001 | 0.01| 0.001 | 1 | 0.131 | 0.2709675460032807
0.0001 | 0.01| 10.0 | 10 | 0.095 | 0.3272725421772051
0.0001 | 0.01| 5.0 | 20 | 0.096 | 0.33441677672270353
0.001 | 0.01| 0.01 | 1 | 0.112 | 0.27147957007381235
0.001 | 0.01| 0.001 | 10 | 0.178 | 0.19745564721906192
0.0001 | 0.01| 10.0 | 20 | 0.107 | 0.3440362103025541
0.001 | 0.01| 0.1 | 1 | 0.115 | 0.27975677637123303
0.001 | 0.01| 0.001 | 20 | 0.171 | 0.18751324821665002
0.001 | 0.01| 0.01 | 10 | 0.17 | 0.19487271719990693
0.001 | 0.01| 1.0 | 1 | 0.11 | 0.2834252649132943
0.001 | 0.01| 0.1 | 10 | 0.153 | 0.19483936294151194
0.001 | 0.01| 0.01 | 20 | 0.157 | 0.18468933304981497
0.001 | 0.01| 5.0 | 1 | 0.114 | 0.3040010638484396
0.001 | 0.01| 1.0 | 10 | 0.118 | 0.2672540058291354
0.001 | 0.01| 0.1 | 20 | 0.158 | 0.1991797564101472
0.001 | 0.01| 10.0 | 1 | 0.11 | 0.3190307073966034
0.001 | 0.01| 5.0 | 10 | 0.09 | 0.32081501865989404
0.001 | 0.01| 1.0 | 20 | 0.116 | 0.2743704826829213
0.001 | 0.01| 10.0 | 10 | 0.08 | 0.35999448640620124
0.001 | 0.01| 5.0 | 20 | 0.1 | 0.3271525052731691
0.001 | 0.01| 10.0 | 20 | 0.089 | 0.33995023142642505
