lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.01 | 1 | 0.817 | 0.183
0.0001 | 0.01| 0.001 | 1 | 0.83 | 0.17
0.0001 | 0.01| 0.1 | 1 | 0.454 | 0.546
0.0001 | 0.01| 0.001 | 10 | 0.833 | 0.167
0.0001 | 0.01| 0.01 | 10 | 0.827 | 0.173
0.0001 | 0.01| 1.0 | 1 | 0.085 | 0.915
0.0001 | 0.01| 0.1 | 10 | 0.734 | 0.266
0.0001 | 0.01| 0.001 | 20 | 0.83 | 0.17
0.0001 | 0.01| 5.0 | 1 | 0.064 | 0.936
0.0001 | 0.01| 0.01 | 20 | 0.833 | 0.167
0.0001 | 0.01| 1.0 | 10 | 0.319 | 0.681
0.0001 | 0.01| 10.0 | 1 | 0.062 | 0.938
0.0001 | 0.01| 5.0 | 10 | 0.227 | 0.773
0.0001 | 0.01| 0.1 | 20 | 0.763 | 0.237
0.0001 | 0.01| 10.0 | 10 | 0.213 | 0.787
0.0001 | 0.01| 1.0 | 20 | 0.402 | 0.598
0.0001 | 0.01| 5.0 | 20 | 0.304 | 0.696
0.0001 | 0.01| 10.0 | 20 | 0.294 | 0.706
