lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.001 | 0.876 | 0.124
0.0001 | 0.01| 0.01 | 0.879 | 0.121
0.0001 | 0.01| 0.001 | 0.881 | 0.119
0.0001 | 0.01| 0.01 | 0.881 | 0.119
0.0001 | 0.01| 0.1 | 0.874 | 0.126
0.0001 | 0.01| 1.0 | 0.396 | 0.604
0.0001 | 0.01| 5.0 | 0.001 | 0.999
0.0001 | 0.01| 10.0 | 0.001 | 0.999
0.001 | 0.01| 0.001 | 0.859 | 0.141
0.001 | 0.01| 0.01 | 0.857 | 0.143
0.001 | 0.01| 0.1 | 0.858 | 0.142
0.001 | 0.01| 1.0 | 0.703 | 0.297
0.001 | 0.01| 5.0 | 0.371 | 0.629
0.001 | 0.01| 10.0 | 0.163 | 0.837
