lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.875 | 0.125
0.0001 | 0.01| 0.01 | 1 | 0.871 | 0.129
0.0001 | 0.01| 0.001 | 10 | 0.878 | 0.122
0.0001 | 0.01| 0.01 | 10 | 0.878 | 0.122
0.0001 | 0.01| 0.1 | 1 | 0.854 | 0.146
0.0001 | 0.01| 0.001 | 20 | 0.878 | 0.122
0.0001 | 0.01| 1.0 | 1 | 0.321 | 0.679
0.0001 | 0.01| 0.01 | 20 | 0.881 | 0.119
0.0001 | 0.01| 0.1 | 10 | 0.865 | 0.135
0.0001 | 0.01| 5.0 | 1 | 0.117 | 0.883
0.0001 | 0.01| 0.1 | 20 | 0.875 | 0.125
0.0001 | 0.01| 1.0 | 10 | 0.676 | 0.324
0.0001 | 0.01| 10.0 | 1 | 0.13 | 0.87
0.0001 | 0.01| 5.0 | 10 | 0.3 | 0.7
0.0001 | 0.01| 0.001 | 1 | 0.877 | 0.123
0.0001 | 0.01| 0.01 | 1 | 0.876 | 0.124
0.0001 | 0.01| 0.001 | 10 | 0.878 | 0.122
0.0001 | 0.01| 0.01 | 10 | 0.879 | 0.121
0.0001 | 0.01| 0.1 | 1 | 0.858 | 0.142
0.0001 | 0.01| 0.001 | 20 | 0.872 | 0.128
0.0001 | 0.01| 0.1 | 10 | 0.865 | 0.135
0.0001 | 0.01| 0.01 | 20 | 0.875 | 0.125
0.0001 | 0.01| 1.0 | 1 | 0.372 | 0.628
0.0001 | 0.01| 5.0 | 1 | 0.132 | 0.868
0.0001 | 0.01| 0.1 | 20 | 0.877 | 0.123
0.0001 | 0.01| 1.0 | 10 | 0.699 | 0.301
0.0001 | 0.01| 10.0 | 1 | 0.127 | 0.873
0.0001 | 0.01| 5.0 | 10 | 0.292 | 0.708
0.0001 | 0.01| 1.0 | 20 | 0.747 | 0.253
0.001 | 0.01| 0.001 | 1 | 0.888 | 0.112
0.0001 | 0.01| 10.0 | 10 | 0.172 | 0.828
0.0001 | 0.01| 5.0 | 20 | 0.293 | 0.707
0.001 | 0.01| 0.01 | 1 | 0.887 | 0.113
0.001 | 0.01| 0.001 | 10 | 0.886 | 0.114
0.0001 | 0.01| 10.0 | 20 | 0.141 | 0.859
0.001 | 0.01| 0.1 | 1 | 0.852 | 0.148
0.001 | 0.01| 0.01 | 10 | 0.89 | 0.11
0.001 | 0.01| 0.001 | 20 | 0.892 | 0.108
0.001 | 0.01| 1.0 | 1 | 0.363 | 0.637
0.001 | 0.01| 0.1 | 10 | 0.885 | 0.115
0.001 | 0.01| 0.01 | 20 | 0.89 | 0.11
0.001 | 0.01| 5.0 | 1 | 0.112 | 0.888
0.001 | 0.01| 1.0 | 10 | 0.598 | 0.4024975
0.001 | 0.01| 0.1 | 20 | 0.895 | 0.105
0.001 | 0.01| 10.0 | 1 | 0.104 | 0.896
0.001 | 0.01| 5.0 | 10 | 0.199 | 0.8012587
0.001 | 0.01| 1.0 | 20 | 0.636 | 0.364
0.001 | 0.01| 10.0 | 10 | 0.152 | 0.848
0.001 | 0.01| 5.0 | 20 | 0.1703333333333333 | 0.8291995
0.001 | 0.01| 10.0 | 20 | 0.167 | 0.833
