lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.874 | 0.126
0.0001 | 0.01| 0.01 | 1 | 0.88 | 0.12
0.0001 | 0.01| 0.1 | 1 | 0.857 | 0.143
0.0001 | 0.01| 0.001 | 10 | 0.872 | 0.128
0.0001 | 0.01| 0.01 | 10 | 0.875 | 0.125
0.0001 | 0.01| 0.01 | 1 | 0.88 | 0.12
0.0001 | 0.01| 0.001 | 1 | 0.874 | 0.126
0.0001 | 0.01| 0.001 | 10 | 0.872 | 0.128
0.0001 | 0.01| 0.01 | 10 | 0.875 | 0.125
0.0001 | 0.01| 0.1 | 1 | 0.857 | 0.143
0.0001 | 0.01| 0.001 | 20 | 0.873 | 0.127
0.0001 | 0.01| 0.01 | 20 | 0.872 | 0.128
0.0001 | 0.01| 1.0 | 1 | 0.592 | 0.408
0.0001 | 0.01| 0.1 | 10 | 0.869 | 0.131
0.0001 | 0.01| 5.0 | 1 | 0.284 | 0.716
0.0001 | 0.01| 0.1 | 20 | 0.872 | 0.128
0.0001 | 0.01| 1.0 | 10 | 0.761 | 0.239
0.0001 | 0.01| 10.0 | 1 | 0.219 | 0.781
0.0001 | 0.01| 5.0 | 10 | 0.334 | 0.666
0.0001 | 0.01| 1.0 | 20 | 0.775 | 0.225
0.001 | 0.01| 0.001 | 1 | 0.875 | 0.125
0.0001 | 0.01| 10.0 | 10 | 0.201 | 0.799
0.0001 | 0.01| 5.0 | 20 | 0.319 | 0.681
0.001 | 0.01| 0.001 | 10 | 0.883 | 0.117
0.001 | 0.01| 0.01 | 1 | 0.879 | 0.121
0.0001 | 0.01| 10.0 | 20 | 0.114 | 0.886
0.001 | 0.01| 0.1 | 1 | 0.863 | 0.137
0.001 | 0.01| 0.001 | 20 | 0.883 | 0.117
0.001 | 0.01| 0.01 | 10 | 0.882 | 0.118
0.001 | 0.01| 1.0 | 1 | 0.381 | 0.619
0.001 | 0.01| 0.1 | 10 | 0.884 | 0.116
0.001 | 0.01| 0.01 | 20 | 0.883 | 0.117
0.001 | 0.01| 5.0 | 1 | 0.093 | 0.907
0.001 | 0.01| 1.0 | 10 | 0.641 | 0.3597478333333333
0.001 | 0.01| 0.1 | 20 | 0.889 | 0.111
0.001 | 0.01| 5.0 | 10 | 0.226 | 0.774
0.001 | 0.01| 10.0 | 1 | 0.045 | 0.955
0.001 | 0.01| 1.0 | 20 | 0.715 | 0.285
0.001 | 0.01| 10.0 | 10 | 0.2 | 0.8
0.001 | 0.01| 5.0 | 20 | 0.252 | 0.748
0.001 | 0.01| 10.0 | 20 | 0.193 | 0.807
