lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.1 | 10 | 0.071 | 1.613272696341007
0.0001 | 0.01| 0.01 | 1 | 0.088 | 1.6207605982082465
0.0001 | 0.01| 0.001 | 1 | 0.088 | 1.6223997354372166
0.0001 | 0.01| 0.1 | 1 | 0.09 | 1.623097806838094
0.0001 | 0.01| 0.001 | 10 | 0.088 | 1.6223997354372166
0.0001 | 0.01| 0.1 | 10 | 0.089 | 1.6188912058661395
0.0001 | 0.01| 1.0 | 1 | 0.085 | 1.6298212310707532
0.0001 | 0.01| 0.01 | 10 | 0.089 | 1.621271301972858
0.0001 | 0.01| 5.0 | 1 | 0.081 | 1.67541178366209
0.0001 | 0.01| 0.01 | 20 | 0.088 | 1.6221731322140576
0.0001 | 0.01| 0.1 | 20 | 0.087 | 1.6278050615151873
0.0001 | 0.01| 1.0 | 10 | 0.09 | 1.590492816642882
0.0001 | 0.01| 0.001 | 20 | 0.088 | 1.6223997354372166
0.0001 | 0.01| 10.0 | 1 | 0.08 | 1.676458865045337
0.0001 | 0.01| 5.0 | 10 | 0.104 | 1.5258258714605712
0.0001 | 0.01| 1.0 | 20 | 0.09 | 1.5974087983538452
0.0001 | 0.01| 5.0 | 20 | 0.133 | 1.4752137964898093
0.0001 | 0.01| 10.0 | 10 | 0.105 | 1.5202809607552412
0.0001 | 0.01| 10.0 | 20 | 0.134 | 1.457874552984774
