lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 1.0 | 0.409 | 0.7264285334982009
0.0001 | 0.01| 0.1 | 0.698 | 0.13714159691147257
0.0001 | 0.01| 0.01 | 0.675 | 0.16163280241956943
0.0001 | 0.01| 0.001 | 0.675 | 0.16177783426035292
0.0001 | 0.01| 5.0 | 0.099 | 1.7253226429414235
0.001 | 0.01| 0.001 | 0.711 | 0.13327523308450936
0.0001 | 0.01| 10.0 | 0.068 | 1.8445864573514146
0.001 | 0.01| 0.01 | 0.709 | 0.13285813338140504
0.001 | 0.01| 0.1 | 0.721 | 0.12316756611450101
0.001 | 0.01| 1.0 | 0.28 | 1.1792701733069124
0.001 | 0.01| 5.0 | 0.069 | 1.8779275477294235
0.001 | 0.01| 10.0 | 0.06 | 1.9134837622339211
