lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 1.0 | 0.263 | 1.1375678371161908
0.0001 | 0.01| 0.01 | 0.673 | 0.16316474651137503
0.0001 | 0.01| 0.001 | 0.675 | 0.16177783426035292
0.0001 | 0.01| 0.1 | 0.684 | 0.15100964177243356
0.0001 | 0.01| 5.0 | 0.001 | 2.0953824930457325
0.001 | 0.01| 0.01 | 0.709 | 0.13398240137460476
0.0001 | 0.01| 10.0 | 0.001 | 2.10033079552548
0.001 | 0.01| 0.001 | 0.711 | 0.13304992311853048
0.001 | 0.01| 10.0 | 0.024 | 2.0303243771830597
0.001 | 0.01| 5.0 | 0.028 | 2.0123986380028795
0.001 | 0.01| 0.1 | 0.716 | 0.12855515295603306
0.001 | 0.01| 1.0 | 0.428 | 0.6988513597154902
