lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.678 | 0.15458784853605384
0.0001 | 0.01| 0.01 | 1 | 0.679 | 0.15581536426241563
0.0001 | 0.01| 0.001 | 10 | 0.703 | 0.1375981303663811
0.0001 | 0.01| 0.01 | 10 | 0.7 | 0.13686266383347054
0.0001 | 0.01| 0.1 | 1 | 0.672 | 0.1657500209728412
0.0001 | 0.01| 0.001 | 20 | 0.701 | 0.14398467897402858
0.0001 | 0.01| 1.0 | 1 | 0.549 | 0.33219950719194763
0.0001 | 0.01| 0.01 | 20 | 0.706 | 0.1437680472404235
0.0001 | 0.01| 0.1 | 10 | 0.694 | 0.1424618459346467
0.0001 | 0.01| 5.0 | 1 | 0.163 | 1.3836441508395714
0.0001 | 0.01| 1.0 | 10 | 0.588 | 0.30134962682248784
0.0001 | 0.01| 0.1 | 20 | 0.698 | 0.1507824338459625
0.0001 | 0.01| 10.0 | 1 | 0.116 | 1.5504753045418147
0.0001 | 0.01| 5.0 | 10 | 0.198 | 1.1922786482659313
0.0001 | 0.01| 1.0 | 20 | 0.587 | 0.2663915846284557
0.001 | 0.01| 0.001 | 1 | 0.719 | 0.1250511662610922
0.0001 | 0.01| 10.0 | 10 | 0.123 | 1.4264426749293655
0.0001 | 0.01| 5.0 | 20 | 0.19 | 1.2435594927536986
0.001 | 0.01| 0.001 | 10 | 0.76 | 0.08909855436667743
0.001 | 0.01| 0.01 | 1 | 0.713 | 0.12539528411226503
0.0001 | 0.01| 10.0 | 20 | 0.124 | 1.4921731177782598
0.001 | 0.01| 0.1 | 1 | 0.736 | 0.11318779672412814
0.001 | 0.01| 0.01 | 10 | 0.76 | 0.09337298054270016
0.001 | 0.01| 0.001 | 20 | 0.755 | 0.09900053387740393
0.001 | 0.01| 1.0 | 1 | 0.552 | 0.3558488679475478
0.001 | 0.01| 0.1 | 10 | 0.763 | 0.08574818518950116
0.001 | 0.01| 0.01 | 20 | 0.753 | 0.09252446562022408
0.001 | 0.01| 5.0 | 1 | 0.22 | 1.1735772180143362
0.001 | 0.01| 1.0 | 10 | 0.618 | 0.2535454724488864
0.001 | 0.01| 0.1 | 20 | 0.763 | 0.08381732300117851
0.001 | 0.01| 5.0 | 10 | 0.228 | 1.119945273062113
0.001 | 0.01| 10.0 | 1 | 0.14 | 1.4332241553956846
0.001 | 0.01| 1.0 | 20 | 0.628 | 0.23400218463488778
0.001 | 0.01| 10.0 | 10 | 0.14 | 1.4152573780131203
0.001 | 0.01| 5.0 | 20 | 0.22 | 1.0886521665816489
0.001 | 0.01| 10.0 | 20 | 0.176 | 1.328326971265695
