lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.106 | 9.268773698859201
0.0001 | 0.01| 0.01 | 1 | 0.106 | 9.268773698859201
0.0001 | 0.01| 0.1 | 1 | 0.106 | 9.266336856532117
0.0001 | 0.01| 0.001 | 10 | 0.106 | 9.268773698859201
0.0001 | 0.01| 0.01 | 10 | 0.106 | 9.268773698859201
0.0001 | 0.01| 1.0 | 1 | 0.106 | 9.304317894736915
0.0001 | 0.01| 0.1 | 10 | 0.106 | 9.279480711352383
0.0001 | 0.01| 0.01 | 20 | 0.106 | 9.264892079416603
0.0001 | 0.01| 5.0 | 1 | 0.108 | 9.21539297924234
0.0001 | 0.01| 1.0 | 10 | 0.106 | 9.252811940537812
0.0001 | 0.01| 0.001 | 20 | 0.106 | 9.268773698859201
0.0001 | 0.01| 10.0 | 1 | 0.097 | 9.416015296199989
0.0001 | 0.01| 5.0 | 10 | 0.116 | 9.08419560628399
0.0001 | 0.01| 0.1 | 20 | 0.106 | 9.272466955239535
0.0001 | 0.01| 10.0 | 10 | 0.125 | 8.762661850239617
0.0001 | 0.01| 1.0 | 20 | 0.106 | 9.26970941665864
0.0001 | 0.01| 10.0 | 20 | 0.132 | 8.548156472992268
0.0001 | 0.01| 5.0 | 20 | 0.117 | 9.007586320233166
