lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.01 | 0.12 | 8.708661181962494
0.0001 | 0.01| 0.1 | 0.117 | 8.748352778031952
0.0001 | 0.01| 0.001 | 0.121 | 8.684629993179776
0.0001 | 0.01| 1.0 | 0.109 | 8.84251098021189
0.0001 | 0.01| 5.0 | 0.107 | 9.049806545063035
0.001 | 0.01| 0.001 | 0.438 | 2.9118293790032803
0.0001 | 0.01| 10.0 | 0.103 | 8.991609973233459
0.001 | 0.01| 0.01 | 0.44 | 2.8866535754166045
0.001 | 0.01| 0.1 | 0.444 | 2.7749116771565867
0.001 | 0.01| 5.0 | 0.342 | 4.145090409780209
0.001 | 0.01| 1.0 | 0.436 | 2.7745639151462713
0.001 | 0.01| 10.0 | 0.317 | 4.6581412515304566
