lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.01 | 0.121 | 8.691707494668679
0.0001 | 0.01| 1.0 | 0.142 | 8.179002793413337
0.0001 | 0.01| 0.1 | 0.123 | 8.623707642452395
0.0001 | 0.01| 0.001 | 0.121 | 8.684629993179776
0.0001 | 0.01| 5.0 | 0.2 | 6.8582083698622265
0.0001 | 0.01| 10.0 | 0.197 | 6.5948664489621915
0.001 | 0.01| 0.01 | 0.438 | 2.9163156074618657
0.001 | 0.01| 0.001 | 0.437 | 2.926327289546292
0.001 | 0.01| 1.0 | 0.452 | 2.649743294969458
0.001 | 0.01| 0.1 | 0.441 | 2.8501045690616147
0.001 | 0.01| 5.0 | 0.393 | 3.275830927952283
0.001 | 0.01| 10.0 | 0.249 | 5.225566760889874
