lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.123 | 8.63524447395428
0.0001 | 0.01| 0.01 | 1 | 0.122 | 8.649693941801775
0.0001 | 0.01| 0.001 | 10 | 0.131 | 8.498734556128143
0.0001 | 0.01| 0.1 | 1 | 0.12 | 8.677464943909504
0.0001 | 0.01| 0.01 | 10 | 0.134 | 8.464188815915936
0.0001 | 0.01| 0.001 | 20 | 0.121 | 8.578952762057062
0.0001 | 0.01| 0.01 | 20 | 0.12 | 8.585089397092164
0.0001 | 0.01| 1.0 | 1 | 0.116 | 8.737751316212648
0.0001 | 0.01| 0.1 | 10 | 0.131 | 8.47200094308184
0.0001 | 0.01| 5.0 | 1 | 0.121 | 8.808822104602841
0.0001 | 0.01| 0.1 | 20 | 0.122 | 8.527065203122726
0.0001 | 0.01| 1.0 | 10 | 0.128 | 8.463491607161265
0.0001 | 0.01| 10.0 | 1 | 0.123 | 8.769383962130313
0.0001 | 0.01| 5.0 | 10 | 0.123 | 8.510798024839605
0.0001 | 0.01| 1.0 | 20 | 0.125 | 8.548311695060045
0.001 | 0.01| 0.001 | 1 | 0.436 | 2.8343667674029698
0.0001 | 0.01| 10.0 | 10 | 0.116 | 8.54828190249595
0.0001 | 0.01| 5.0 | 20 | 0.125 | 8.406023735933163
0.001 | 0.01| 0.001 | 10 | 0.448 | 2.7104869611095013
0.001 | 0.01| 0.01 | 1 | 0.443 | 2.8319091804295695
0.0001 | 0.01| 10.0 | 20 | 0.123 | 8.422501545310022
0.001 | 0.01| 0.1 | 1 | 0.443 | 2.8343485195017637
0.001 | 0.01| 0.01 | 10 | 0.457 | 2.686686450490467
0.001 | 0.01| 0.001 | 20 | 0.454 | 2.7436929068818725
0.001 | 0.01| 1.0 | 1 | 0.469 | 2.627825399677295
0.001 | 0.01| 0.1 | 10 | 0.447 | 2.6855693280386923
0.001 | 0.01| 0.01 | 20 | 0.461 | 2.6914556542481263
0.001 | 0.01| 5.0 | 1 | 0.383 | 3.864704690892172
0.001 | 0.01| 1.0 | 10 | 0.457 | 2.7238626556628125
0.001 | 0.01| 0.1 | 20 | 0.456 | 2.7249698249403975
0.001 | 0.01| 10.0 | 1 | 0.32 | 4.886360349473462
0.001 | 0.01| 5.0 | 10 | 0.423 | 2.9787793288191162
0.001 | 0.01| 1.0 | 20 | 0.465 | 2.6095706854173266
0.001 | 0.01| 10.0 | 10 | 0.384 | 3.4100661037769155
0.001 | 0.01| 5.0 | 20 | 0.466 | 2.549738100280642
0.001 | 0.01| 10.0 | 20 | 0.427 | 2.997911582707946
