lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.869 | 0.131
0.0001 | 0.01| 0.01 | 1 | 0.868 | 0.132
0.0001 | 0.01| 0.001 | 10 | 0.87 | 0.13
0.0001 | 0.01| 0.1 | 1 | 0.862 | 0.138
0.0001 | 0.01| 1.0 | 1 | 0.652 | 0.348
0.0001 | 0.01| 0.01 | 10 | 0.87 | 0.13
0.0001 | 0.01| 0.1 | 10 | 0.873 | 0.127
0.0001 | 0.01| 0.001 | 20 | 0.87 | 0.13
0.0001 | 0.01| 5.0 | 1 | 0.193 | 0.807
0.0001 | 0.01| 1.0 | 10 | 0.881 | 0.119
0.0001 | 0.01| 0.1 | 20 | 0.879 | 0.121
0.0001 | 0.01| 0.01 | 20 | 0.87 | 0.13
0.0001 | 0.01| 10.0 | 1 | 0.113 | 0.887
0.0001 | 0.01| 5.0 | 10 | 0.786 | 0.214
0.0001 | 0.01| 1.0 | 20 | 0.9 | 0.1
0.0001 | 0.01| 10.0 | 10 | 0.705 | 0.295
0.0001 | 0.01| 5.0 | 20 | 0.838 | 0.162
0.0001 | 0.01| 10.0 | 20 | 0.799 | 0.201
