lr | lambda | perturbed-variance | M | opt-rate | regret
0.0001 | 0.01| 0.001 | 1 | 0.929 | 0.071
0.0001 | 0.01| 0.01 | 1 | 0.929 | 0.071
0.0001 | 0.01| 0.1 | 1 | 0.93 | 0.07
0.0001 | 0.01| 0.001 | 10 | 0.949 | 0.051
0.0001 | 0.01| 0.01 | 10 | 0.951 | 0.049
0.0001 | 0.01| 1.0 | 1 | 0.927 | 0.073
0.0001 | 0.01| 0.1 | 10 | 0.949 | 0.051
0.0001 | 0.01| 0.001 | 20 | 0.945 | 0.055
0.0001 | 0.01| 0.01 | 20 | 0.945 | 0.055
0.0001 | 0.01| 5.0 | 1 | 0.616 | 0.384
0.0001 | 0.01| 1.0 | 10 | 0.927 | 0.073
0.0001 | 0.01| 10.0 | 1 | 0.147 | 0.853
0.0001 | 0.01| 0.1 | 20 | 0.945 | 0.055
0.0001 | 0.01| 5.0 | 10 | 0.772 | 0.228
0.001 | 0.01| 0.001 | 1 | 0.981 | 0.019
0.0001 | 0.01| 1.0 | 20 | 0.94 | 0.06
0.0001 | 0.01| 10.0 | 10 | 0.703 | 0.297
0.001 | 0.01| 0.01 | 1 | 0.979 | 0.021
0.0001 | 0.01| 5.0 | 20 | 0.92 | 0.08
0.001 | 0.01| 0.001 | 10 | 0.982 | 0.018
0.001 | 0.01| 0.1 | 1 | 0.9815 | 0.018491
0.001 | 0.01| 0.01 | 10 | 0.979 | 0.021
0.0001 | 0.01| 10.0 | 20 | 0.832 | 0.168
0.001 | 0.01| 1.0 | 1 | 0.917 | 0.083
0.001 | 0.01| 0.001 | 20 | 0.98 | 0.02
0.001 | 0.01| 0.1 | 10 | 0.979 | 0.021
0.001 | 0.01| 5.0 | 1 | 0.328 | 0.672
0.001 | 0.01| 0.01 | 20 | 0.98 | 0.02
0.001 | 0.01| 1.0 | 10 | 0.958 | 0.042
0.001 | 0.01| 10.0 | 1 | 0.262 | 0.738
0.001 | 0.01| 0.1 | 20 | 0.982 | 0.018
0.001 | 0.01| 5.0 | 10 | 0.901 | 0.099
0.001 | 0.01| 1.0 | 20 | 0.97 | 0.03
0.001 | 0.01| 10.0 | 10 | 0.692 | 0.308
0.001 | 0.01| 5.0 | 20 | 0.861 | 0.139
0.001 | 0.01| 10.0 | 20 | 0.84 | 0.16
